"","taxname","species","genus","family","order","class","subclass","infraclass","rank"
"Lepidorhombus","Lepidorhombus",NA,"Lepidorhombus","Scophthalmidae","Pleuronectiformes","Actinopterygii","Teleostei",NA,"genus"
"Lepidotrigla dieuzeidei","Lepidotrigla dieuzeidei","Lepidotrigla dieuzeidei","Lepidotrigla","Triglidae","Scorpaeniformes","Actinopterygii","Teleostei",NA,"species"
"Lesueurigobius friesii","Lesueurigobius friesii","Lesueurigobius friesii","Lesueurigobius","Gobiidae","Gobiiformes","Actinopterygii","Teleostei",NA,"species"
"Leucoraja","Leucoraja",NA,"Leucoraja","Rajidae","Rajiformes","Elasmobranchii","Neoselachii","Batoidea","genus"
"Lithognathus mormyrus","Lithognathus mormyrus","Lithognathus mormyrus","Lithognathus","Sparidae","Spariformes","Actinopterygii","Teleostei",NA,"species"
"Lophius","Lophius",NA,"Lophius","Lophiidae","Lophiiformes","Actinopterygii","Teleostei",NA,"genus"
"Macroramphosus scolopax","Macroramphosus scolopax","Macroramphosus scolopax","Macroramphosus","Centriscidae","Syngnathiformes","Actinopterygii","Teleostei",NA,"species"
"Malacocephalus laevis","Malacocephalus laevis","Malacocephalus laevis","Malacocephalus","Macrouridae","Gadiformes","Actinopterygii","Teleostei",NA,"species"
"Maurolicus","Maurolicus",NA,"Maurolicus","Sternoptychidae","Stomiiformes","Actinopterygii","Teleostei",NA,"genus"
"Melanostigma atlanticum","Melanostigma atlanticum","Melanostigma atlanticum","Melanostigma","Zoarcidae","Scorpaeniformes","Actinopterygii","Teleostei",NA,"species"
"Merlangius merlangus","Merlangius merlangus","Merlangius merlangus","Merlangius","Gadidae","Gadiformes","Actinopterygii","Teleostei",NA,"species"
"Merluccius","Merluccius",NA,"Merluccius","Merlucciidae","Gadiformes","Actinopterygii","Teleostei",NA,"genus"
"Microchirus variegatus","Microchirus variegatus","Microchirus variegatus","Microchirus","Soleidae","Pleuronectiformes","Actinopterygii","Teleostei",NA,"species"
"Micromesistius poutassou","Micromesistius poutassou","Micromesistius poutassou","Micromesistius","Gadidae","Gadiformes","Actinopterygii","Teleostei",NA,"species"
"Microstomus kitt","Microstomus kitt","Microstomus kitt","Microstomus","Pleuronectidae","Pleuronectiformes","Actinopterygii","Teleostei",NA,"species"
"Mola mola","Mola mola","Mola mola","Mola","Molidae","Tetraodontiformes","Actinopterygii","Teleostei",NA,"species"
"Molva","Molva",NA,"Molva","Gadidae","Gadiformes","Actinopterygii","Teleostei",NA,"genus"
"Mora moro","Mora moro","Mora moro","Mora","Moridae","Gadiformes","Actinopterygii","Teleostei",NA,"species"
"Mullus surmuletus","Mullus surmuletus","Mullus surmuletus","Mullus","Mullidae","Perciformes","Actinopterygii","Teleostei",NA,"species"
"Mustelus asterias","Mustelus asterias","Mustelus asterias","Mustelus","Triakidae","Carcharhiniformes","Elasmobranchii","Neoselachii","Selachii","species"
"Myctophum punctatum","Myctophum punctatum","Myctophum punctatum","Myctophum","Myctophidae","Myctophiformes","Actinopterygii","Teleostei",NA,"species"
