"","species","genus","family","other","ncbi","custom","rank"
"116","Aetomylaeus bovinus","Aetomylaeus","Myliobatidae",2,NA,NA,"species"
"117","Alopias vulpinus","Alopias","Alopiidae",1,1,NA,"species"
"118","Alosa alosa","Alosa","Clupeidae",2,NA,NA,"species"
"119","Anthias anthias","Anthias","Serranidae",2,NA,NA,"species"
"120","Myliobatis aquila","Myliobatis","Myliobatidae",2,1,NA,"species"
"121","Argyrosomus regius","Argyrosomus","Sciaenidae",2,NA,1,"species"
"122","Atherina presbyter","Atherina","Atherinidae",3,NA,1,"species"
"123","Buglossidium luteum","Buglossidium","Soleidae",1,NA,NA,"species"
"124","Callionymus lyra","Callionymus","Callionymidae",1,1,NA,"species"
"125","Carcharias taurus","Carcharias","Odontaspididae",3,3,NA,"species"
"126","Carcharhinus plumbeus","Carcharhinus","Carcharhinidae",3,NA,NA,"species"
"127","Cetorhinus maximus","Cetorhinus","Alopiidae",1,NA,NA,"species"
"128","Chelon labrosus","Chelon","Mugilidae",1,1,NA,"species"
"129","Cyclopterus lumpus","Cyclopterus","Cyclopteridae",1,1,NA,"species"
"130","Dactylopterus volitans","Dactylopterus","Dactylopteridae",2,1,NA,"species"
"131","Dalatias licha","Dalatias","Dalatiidae",2,1,NA,"species"
"132","Dasyatis marmorata","Dasyatis","Dasyatidae",2,NA,NA,"species"
"133","Dasyatis pastinaca","Dasyatis","Dasyatidae",1,1,NA,"species"
"134","Dicentrarchus punctatus","Dicentrarchus","Moronidae",1,1,NA,"species"
"135","Dicologlossa cuneata","Dicologlossa","Soleidae",2,NA,NA,"species"
"136","Diplodus cervinus","Diplodus","Sparidae",1,NA,NA,"species"
"137","Dipturus oxyrinchus","Dipturus","Rajidae",4,NA,NA,"species"
"138","Etmopterus spinax","Etmopterus","Etmopteridae",3,NA,1,"species"
"139","Eutrigla gurnardus","Eutrigla","Triglidae",3,1,1,"species"
"140","Gaidropsarus mediterraneus","Gaidropsarus","Gaidropsaridae",1,NA,NA,"species"
"141","Galeorhinus galeus","Galeorhinus","Triakidae",2,NA,NA,"species"
"142","Gobius cobitis","Gobius","Gobiidae",1,1,NA,"species"
"143","Halobatrachus didactylus","Halobatrachus","Batrachoididae",1,NA,NA,"species"
"144","Hexanchus griseus","Hexanchus","Hexanchidae",3,2,NA,"species"
"145","Hippocampus hippocampus","Hippocampus","Syngnathidae",3,NA,1,"species"
"146","Labrus bergylta","Labrus","Labridae",1,NA,NA,"species"
"147","Labrus mixtus","Labrus","Labridae",1,1,NA,"species"
"148","Lepadogaster candolii","Lepadogaster","Gobiesocidae",3,NA,NA,"species"
"149","Lepadogaster lepadogaster","Lepadogaster","Gobiesocidae",3,NA,NA,"species"
"150","Lepidorhombus whiffiagonis","Lepidorhombus","Scophthalmidae",2,NA,1,"species"
"151","Merlangius merlangus","Merlangius","Gadidae",2,NA,1,"species"
"152","Mobula mobular","Mobula","Myliobatidae",1,NA,NA,"species"
"153","Molva macrophthalma","Molva","Lotidae",2,NA,NA,"species"
"154","Molva molva","Molva","Lotidae",2,NA,NA,"species"
"155","Mustelus asterias","Mustelus","Triakidae",3,1,NA,"species"
"156","Nerophis maculatus","Nerophis","Syngnathidae",1,NA,NA,"species"
"157","Oedalechilus labeo","Oedalechilus","Mugilidae",2,1,NA,"species"
"158","Ostracion cubicus","Ostracion","Ostraciidae",1,1,NA,"species"
"159","Oxynotus centrina","Oxynotus","Oxynotidae",3,NA,NA,"species"
"160","Pagrus auriga","Pagrus","Sparidae",1,NA,NA,"species"
"161","Pagrus pagrus","Pagrus","Sparidae",3,NA,NA,"species"
"162","Parablennius rouxi","Parablennius","Blenniidae",1,1,NA,"species"
"163","Parablennius sanguinolentus","Parablennius","Blenniidae",1,NA,NA,"species"
"164","Pegusa lascaris","Pegusa","Soleidae",3,NA,NA,"species"
"165","Pleuronectes platessa","Pleuronectes","Pleuronectidae",3,NA,1,"species"
"166","Pteroplatytrygon violacea","Pteroplatytrygon","Dasyatidae",3,1,NA,"species"
"167","Raja clavata","Raja","Rajidae",5,NA,NA,"species"
"168","Raja undulata","Raja","Rajidae",2,1,NA,"species"
"169","Rhinoptera marginata","Rhinoptera","Myliobatidae",2,NA,NA,"species"
"170","Scomber colias","Scomber","Scombridae",2,NA,1,"species"
"171","Scyliorhinus stellaris","Scyliorhinus","Scyliorhinidae",9,NA,NA,"species"
"172","Sphyraena viridensis","Sphyraena","Sphyraenidae",2,NA,NA,"species"
"173","Spicara smaris","Spicara","Centracanthidae",4,NA,NA,"species"
"174","Squalus blainville","Squalus","Squalidae",3,1,NA,"species"
"175","Squatina squatina","Squatina","Squatinidae",3,2,NA,"species"
"176","Symphodus melanocercus","Symphodus","Labridae",2,NA,NA,"species"
"177","Thunnus thynnus","Thunnus","Scombridae",3,1,NA,"species"
"178","Trachinotus ovatus","Trachinotus","Carangidae",3,1,NA,"species"
"179","Trachurus trachurus","Trachurus","Carangidae",2,NA,1,"species"
"180","Trisopterus luscus","Trisopterus","Gadidae",2,1,1,"species"
"181","Xyrichtys novacula","Xyrichtys","Labridae",1,1,NA,"species"
"182","Zeugopterus punctatus","Zeugopterus","Scophthalmidae",1,1,NA,"species"
"183","Homo sapiens","Homo","Hominidae",NA,127,NA,"species"
"184","Dugesia japonica","Dugesia","Dugesiidae",NA,5,NA,"species"
"185",NA,"Diaphorina","Liviidae",NA,1,NA,"genus"
"186","Acropora palmata","Acropora","Acroporidae",NA,1,NA,"species"
"187","Orbicella faveolata","Orbicella","Merulinidae",NA,1,NA,"species"
"188","Diploptera punctata","Diploptera","Blaberidae",NA,2,NA,"species"
"189",NA,"Canis","Canidae",NA,2,NA,"genus"
"190","Macaca mulatta","Macaca","Cercopithecidae",NA,17,NA,"species"
"191","Macaca fascicularis","Macaca","Cercopithecidae",NA,37,NA,"species"
"192",NA,"Macaca","Cercopithecidae",NA,14,NA,"genus"
"193","Canis lupus","Canis","Canidae",NA,47,NA,"species"
"194","Macaca nemestrina","Macaca","Cercopithecidae",NA,15,NA,"species"
"195","Pongo abelii","Pongo","Hominidae",NA,1,NA,"species"
"196","Notamacropus eugenii","Notamacropus","Macropodidae",NA,2,NA,"species"
"197","Oryzias latipes","Oryzias","Adrianichthyidae",NA,10,NA,"species"
"198","Danio rerio","Danio","Danionidae",NA,1,NA,"species"
"199","Xenopus tropicalis","Xenopus","Pipidae",NA,2,NA,"species"
"200","Xenopus laevis","Xenopus","Pipidae",NA,4,NA,"species"
"201",NA,"Eptatretus","Myxinidae",NA,1,NA,"genus"
"202",NA,NA,"Cichlidae",NA,10,NA,"family"
"203","Haplochromis chilotes","Haplochromis","Cichlidae",NA,2,NA,"species"
"204",NA,NA,"Cobitidae",NA,4,NA,"family"
"205",NA,"Gallus","Phasianidae",NA,1,NA,"genus"
"206","Gallus gallus","Gallus","Phasianidae",NA,4,NA,"species"
"207",NA,"Oncorhynchus","Salmonidae",NA,1,NA,"genus"
"208",NA,NA,"Petromyzontidae",NA,2,NA,"family"
"209","Gasterosteus aculeatus","Gasterosteus","Gasterosteidae",NA,10,NA,"species"
"210",NA,NA,"Pleuronectidae",NA,1,NA,"family"
"211","Petromyzon marinus","Petromyzon","Petromyzontidae",NA,2,NA,"species"
"212","Salmo salar","Salmo","Salmonidae",NA,1,NA,"species"
"213","Dicentrarchus labrax","Dicentrarchus","Moronidae",NA,2,1,"species"
"214",NA,NA,"Characidae",NA,2,NA,"family"
"215","Cynops pyrrhogaster","Cynops","Salamandridae",NA,4,NA,"species"
"216","Eptatretus burgeri","Eptatretus","Myxinidae",NA,1,NA,"species"
"217",NA,"Lonchura","Estrildidae",NA,2,NA,"genus"
"218","Lonchura striata","Lonchura","Estrildidae",NA,2,NA,"species"
"219","Micrurus altirostris","Micrurus","Elapidae",NA,1,NA,"species"
"220",NA,NA,"Sparidae",NA,3,NA,"family"
"221","Takifugu rubripes","Takifugu","Tetraodontidae",NA,1,NA,"species"
"222","Macaca fuscata","Macaca","Cercopithecidae",NA,1,NA,"species"
"223","Chlorocebus aethiops","Chlorocebus","Cercopithecidae",NA,5,NA,"species"
"224","Nothobranchius furzeri","Nothobranchius","Nothobranchiidae",NA,1,NA,"species"
"225",NA,"Gorilla","Hominidae",NA,1,NA,"genus"
"226","Callithrix jacchus","Callithrix","Cebidae",NA,4,NA,"species"
"227","Tupaia belangeri","Tupaia","Tupaiidae",NA,9,NA,"species"
"228","Colobus guereza","Colobus","Cercopithecidae",NA,2,NA,"species"
"229",NA,NA,"Hominidae",NA,1,NA,"family"
"230",NA,"Thermus","Thermaceae",NA,8,NA,"genus"
"231","Odoribacter denticanis","Odoribacter","Odoribacteraceae",NA,1,NA,"species"
"232","Porphyromonas canoris","Porphyromonas","Porphyromonadaceae",NA,1,NA,"species"
"233",NA,"Deinococcus","Deinococcaceae",NA,14,NA,"genus"
"234",NA,"Branchiostegus","Malacanthidae",NA,1,NA,"genus"
"235","Meleagris gallopavo","Meleagris","Phasianidae",NA,1,NA,"species"
"236",NA,"Anser","Anatidae",NA,1,NA,"genus"
"237","Anas platyrhynchos","Anas","Anatidae",NA,2,NA,"species"
"238","uncultured Oscillatoria sp.","Oscillatoria","Oscillatoriaceae",NA,1,NA,"species"
"239","Defluviitoga tunisiensis","Defluviitoga","Petrotogaceae",NA,1,NA,"species"
"240","uncultured Chloroflexus sp.","Chloroflexus","Chloroflexaceae",NA,1,NA,"species"
"241","uncultured Thermus sp.","Thermus","Thermaceae",NA,1,NA,"species"
"242",NA,"Streptomyces","Streptomycetaceae",NA,2,NA,"genus"
"243","uncultured Synechococcus sp.","Synechococcus","Synechococcaceae",NA,2,NA,"species"
"244","uncultured Blastococcus sp.","Blastococcus","Geodermatophilaceae",NA,1,NA,"species"
"245","uncultured Spiroplasma sp.","Spiroplasma","Spiroplasmataceae",NA,1,NA,"species"
"246","uncultured Deinococcus sp.","Deinococcus","Deinococcaceae",NA,2,NA,"species"
"247",NA,NA,"Candidatus Nanopelagicaceae",NA,1,NA,"family"
"248","Thermobaculum sp. enrichment culture clone VanCtr100","Sulfurospirillum","Campylobacteraceae",NA,1,NA,"species"
"249","uncultured Leptolinea sp.","Leptolinea","Anaerolineaceae",NA,1,NA,"species"
"250","uncultured Anaerolinea sp.","Anaerolinea","Anaerolineaceae",NA,2,NA,"species"
"251","Actinomyces sp. canine oral taxon 083","Actinomyces","Actinomycetaceae",NA,1,NA,"species"
"252","uncultured Acidithiobacillus sp.","Acidithiobacillus","Acidithiobacillaceae",NA,1,NA,"species"
"253","uncultured Macellibacteroides sp.","Macellibacteroides","Porphyromonadaceae",NA,1,NA,"species"
"254","Arbacia lixula","Arbacia","Arbaciidae",NA,2,NA,"species"
"255",NA,NA,"Tephritidae",NA,2,NA,"family"
"256",NA,"Anastrepha","Tephritidae",NA,1,NA,"genus"
"257","Zeugodacus expandens","Zeugodacus","Tephritidae",NA,1,NA,"species"
"258",NA,"Bactrocera","Tephritidae",NA,1,NA,"genus"
"259","Bactrocera hyalina","Bactrocera","Tephritidae",NA,1,NA,"species"
"260","Bactrocera zonata","Bactrocera","Tephritidae",NA,1,NA,"species"
"261","Zeugodacus cucumis","Zeugodacus","Tephritidae",NA,1,NA,"species"
"262",NA,NA,"Argasidae",NA,1,NA,"family"
"263","Coeliodes nakanoensis","Coeliodes","Curculionidae",NA,1,NA,"species"
"264","Hainokisaruzo japonicus","Hainokisaruzo","Curculionidae",NA,1,NA,"species"
"265","Trichocoeliodes excavatus","Trichocoeliodes","Curculionidae",NA,1,NA,"species"
"266","Zacladus geranii","Zacladus","Curculionidae",NA,1,NA,"species"
"267",NA,NA,"Acanthosomatidae",NA,1,NA,"family"
"268",NA,NA,"Stichopodidae",NA,1,NA,"family"
"269","Dugesia ryukyuensis","Dugesia","Dugesiidae",NA,1,NA,"species"
"270","Odontobdella blanchardi","Odontobdella","Salifidae",NA,1,NA,"species"
"271","Cucumaria pseudocurata","Cucumaria","Cucumariidae",NA,1,NA,"species"
"272",NA,"Cucumaria","Cucumariidae",NA,1,NA,"genus"
"273","Onchocerca volvulus","Onchocerca","Onchocercidae",NA,1,NA,"species"
"274",NA,NA,"Gomphidae",NA,2,NA,"family"
"275",NA,"Heteragrion","Megapodagrionidae",NA,1,NA,"genus"
"276","Arigomphus cornutus","Arigomphus","Gomphidae",NA,1,NA,"species"
"277","Lindenia tetraphylla","Lindenia","Gomphidae",NA,1,NA,"species"
"278","Phyllogomphoides albrighti","Phyllogomphoides","Gomphidae",NA,1,NA,"species"
"279","Thrips imaginis","Thrips","Thripidae",NA,1,NA,"species"
"280","Thermobia domestica","Thermobia","Lepismatidae",NA,2,NA,"species"
"281",NA,NA,"Libellulidae",NA,2,NA,"family"
"282","Placopecten magellanicus","Placopecten","Pectinidae",NA,1,NA,"species"
"283","Fannia armata","Fannia","Fanniidae",NA,1,NA,"species"
"284","Bactrocera dorsalis","Bactrocera","Tephritidae",NA,1,NA,"species"
"285","Bulla sp. TLT-2006","Bulla","Bullidae",NA,1,NA,"species"
"286","Notodoris gardineri","Notodoris","Polyceridae",NA,1,NA,"species"
"287","Bradinopyga cornuta","Bradinopyga","Libellulidae",NA,1,NA,"species"
"288","Bradinopyga strachani","Bradinopyga","Libellulidae",NA,1,NA,"species"
"289","Erythemis collocata","Erythemis","Libellulidae",NA,1,NA,"species"
"290","Trigoniophthalmus alternatus","Trigoniophthalmus","Machilidae",NA,1,NA,"species"
"291","Atelura formicaria","Atelura","Nicoletiidae",NA,1,NA,"species"
"292","Stylurus nagoyanus","Stylurus","Gomphidae",NA,1,NA,"species"
"293","Tubulipora flabellaris","Tubulipora","Tubuliporidae",NA,1,NA,"species"
"294",NA,"Aptostichus","Euctenizidae",NA,1,NA,"genus"
"295","Tetraphalerus bruchi","Tetraphalerus","Ommatidae",NA,1,NA,"species"
"296",NA,NA,"Muscidae",NA,1,NA,"family"
"297","Mimachlamys nobilis","Mimachlamys","Pectinidae",NA,1,NA,"species"
"298","Sipunculus nudus","Sipunculus","Sipunculidae",NA,1,NA,"species"
"299","Pseudolestes mirabilis","Pseudolestes","Pseudolestidae",NA,1,NA,"species"
"300","Apatides fortis","Apatides","Bostrichidae",NA,1,NA,"species"
"301","Eothalassius gracilis","Eothalassius","Dolichopodidae",NA,1,NA,"species"
"302","Nepalomyia sp. 1 SNK-2009","Nepalomyia","Dolichopodidae",NA,1,NA,"species"
"303",NA,"Neurigona","Dolichopodidae",NA,1,NA,"genus"
"304",NA,NA,"Dolichopodidae",NA,2,NA,"family"
"305","Paramedetera obscura","Paramedetera","Dolichopodidae",NA,1,NA,"species"
"306",NA,"Thinophilus","Dolichopodidae",NA,1,NA,"genus"
"307","Holothuria forskali","Holothuria","Holothuriidae",NA,1,NA,"species"
"308","Halicryptus spinulosus","Halicryptus","Priapulidae",NA,1,NA,"species"
"309","Libelloides macaronius","Libelloides","Ascalaphidae",NA,1,NA,"species"
"310","Takobia yixiani","Takobia","Baetidae",NA,1,NA,"species"
"311",NA,NA,"Heptageniidae",NA,1,NA,"family"
"312",NA,"Isonychia","Isonychiidae",NA,1,NA,"genus"
"313","Stylochyrus rarior","Stylochyrus","Ologamasidae",NA,1,NA,"species"
"314","Siphluriscus chinensis","Siphluriscus","Siphlonuridae",NA,2,NA,"species"
"315","Penaeus semisulcatus","Penaeus","Penaeidae",NA,1,NA,"species"
"316","Kulikovia alborostrata","Kulikovia","Lineidae",NA,1,NA,"species"
"317","Zeugodacus cucurbitae","Zeugodacus","Tephritidae",NA,1,NA,"species"
"318","Anticheta brevipennis","Anticheta","Sciomyzidae",NA,1,NA,"species"
"319","Pherbina coryleti","Pherbina","Sciomyzidae",NA,1,NA,"species"
"320",NA,"Psacadina","Sciomyzidae",NA,1,NA,"genus"
"321","Renocera pallida","Renocera","Sciomyzidae",NA,1,NA,"species"
"322","Parajapyx emeryanus","Parajapyx","Parajapygidae",NA,1,NA,"species"
"323","Peloridora minuta","Peloridora","Peloridiidae",NA,1,NA,"species"
"324","Frankliniella intonsa","Frankliniella","Thripidae",NA,1,NA,"species"
"325","Calocaris macandreae","Calocaris","Axiidae",NA,1,NA,"species"
"326","Novastoa caboverdensis","Novastoa","Vermetidae",NA,1,NA,"species"
