"","species","genus","family","other","ncbi","custom","rank"
"7255","Rhacophorus rufipes","Rhacophorus","Rhacophoridae",NA,1,NA,"species"
"7256","Syngnathus temminckii","Syngnathus","Syngnathidae",NA,1,NA,"species"
"7257","Syngnathus watermeyeri","Syngnathus","Syngnathidae",NA,1,NA,"species"
"7258",NA,"Syngnathus","Syngnathidae",NA,1,NA,"genus"
"7259","Syngnathus acus","Syngnathus","Syngnathidae",NA,2,1,"species"
"7260","Syngnathus rostellatus","Syngnathus","Syngnathidae",NA,1,NA,"species"
"7261","Syngnathus tenuirostris","Syngnathus","Syngnathidae",NA,1,NA,"species"
"7262","Bahaba taipingensis","Bahaba","Sciaenidae",NA,1,NA,"species"
"7263","Pericrocotus ethologus","Pericrocotus","Campephagidae",NA,1,NA,"species"
"7264","Ischnocnema cf. henselii CC-2012","Ischnocnema","Brachycephalidae",NA,1,NA,"species"
"7265","Ischnocnema cf. paulodutrai CC-2012","Ischnocnema","Brachycephalidae",NA,2,NA,"species"
"7266","Ischnocnema cf. penaxavantinho CC-2012","Ischnocnema","Brachycephalidae",NA,1,NA,"species"
"7267","Ischnocnema cf. ramagii CC-2012","Ischnocnema","Brachycephalidae",NA,1,NA,"species"
"7268","Ischnocnema cf. vinhai CC-2012","Ischnocnema","Brachycephalidae",NA,2,NA,"species"
"7269","Ischnocnema guentheri","Ischnocnema","Brachycephalidae",NA,3,NA,"species"
"7270","Ischnocnema holti","Ischnocnema","Brachycephalidae",NA,1,NA,"species"
"7271","Ischnocnema izecksohni","Ischnocnema","Brachycephalidae",NA,2,NA,"species"
"7272","Ischnocnema lactea","Ischnocnema","Brachycephalidae",NA,2,NA,"species"
"7273","Ischnocnema nasuta","Ischnocnema","Brachycephalidae",NA,2,NA,"species"
"7274","Ischnocnema octavioi","Ischnocnema","Brachycephalidae",NA,3,NA,"species"
"7275","Ischnocnema oea","Ischnocnema","Brachycephalidae",NA,2,NA,"species"
"7276","Ischnocnema ramagii","Ischnocnema","Brachycephalidae",NA,2,NA,"species"
"7277","Ischnocnema sambaqui","Ischnocnema","Brachycephalidae",NA,1,NA,"species"
"7278","Ischnocnema venancioi","Ischnocnema","Brachycephalidae",NA,1,NA,"species"
"7279","Ischnocnema abdita","Ischnocnema","Brachycephalidae",NA,2,NA,"species"
"7280","Ischnocnema bolbodactyla","Ischnocnema","Brachycephalidae",NA,1,NA,"species"
"7281","Ischnocnema cf. holti CC-2012","Ischnocnema","Brachycephalidae",NA,2,NA,"species"
"7282","Ischnocnema cf. manezinho CC-2012","Ischnocnema","Brachycephalidae",NA,1,NA,"species"
"7283","Ischnocnema aff. holti CC-2012","Ischnocnema","Brachycephalidae",NA,2,NA,"species"
"7284","Ischnocnema erythromera","Ischnocnema","Brachycephalidae",NA,2,NA,"species"
"7285","Ischnocnema hoehnei","Ischnocnema","Brachycephalidae",NA,1,NA,"species"
"7286","Ischnocnema vizottoi","Ischnocnema","Brachycephalidae",NA,1,NA,"species"
"7287","Ischnocnema sp. CC-2012","Ischnocnema","Brachycephalidae",NA,1,NA,"species"
"7288","Pristimantis gryllus","Pristimantis","Strabomantidae",NA,1,NA,"species"
"7289","Sahyadria chalakkudiensis","Sahyadria","Cyprinidae",NA,1,NA,"species"
"7290","Percocypris pingi","Percocypris","Cyprinidae",NA,1,NA,"species"
"7291","Procypris mera","Procypris","Cyprinidae",NA,1,NA,"species"
"7292",NA,"Astrochelys","Testudinidae",NA,1,NA,"genus"
"7293","Sarcocheilichthys nigripinnis","Sarcocheilichthys","Gobionidae",NA,2,NA,"species"
"7294","Hapalogenys analis","Hapalogenys","Hapalogenyidae",NA,1,NA,"species"
"7295",NA,"Aratinga","Psittacidae",NA,1,NA,"genus"
"7296","Dermochelys coriacea","Dermochelys","Dermochelyidae",NA,1,NA,"species"
"7297","Natator depressus","Natator","Cheloniidae",NA,1,NA,"species"
"7298","Lepidochelys kempii","Lepidochelys","Cheloniidae",NA,1,NA,"species"
"7299","Megophrys shapingensis","Megophrys","Megophryidae",NA,1,NA,"species"
"7300","Trichiurus lepturus","Trichiurus","Trichiuridae",NA,2,NA,"species"
"7301","Scaphiodonichthys acanthopterus","Scaphiodonichthys","Cyprinidae",NA,1,NA,"species"
"7302","Passer montanus","Passer","Passeridae",NA,6,NA,"species"
"7303","Salamandrella tridactyla","Salamandrella","Hynobiidae",NA,1,NA,"species"
"7304","Nesopsar nigerrimus","Nesopsar","Icteridae",NA,1,NA,"species"
"7305","Gnorimopsar chopi","Gnorimopsar","Icteridae",NA,1,NA,"species"
"7306","Chrysomus ruficapillus","Chrysomus","Icteridae",NA,1,NA,"species"
"7307","Lampropsar tanagrinus","Lampropsar","Icteridae",NA,1,NA,"species"
"7308","Oreopsar bolivianus","Oreopsar","Icteridae",NA,1,NA,"species"
"7309","Agelasticus xanthophthalmus","Agelasticus","Icteridae",NA,1,NA,"species"
"7310","Chrysomus icterocephalus","Chrysomus","Icteridae",NA,1,NA,"species"
"7311","Dives dives","Dives","Icteridae",NA,1,NA,"species"
"7312","Amblyramphus holosericeus","Amblyramphus","Icteridae",NA,1,NA,"species"
"7313","Quiscalus quiscula","Quiscalus","Icteridae",NA,1,NA,"species"
"7314","Xanthopsar flavus","Xanthopsar","Icteridae",NA,1,NA,"species"
"7315","Pseudoleistes virescens","Pseudoleistes","Icteridae",NA,1,NA,"species"
"7316","Molothrus aeneus","Molothrus","Icteridae",NA,1,NA,"species"
"7317","Icterus mesomelas","Icterus","Icteridae",NA,1,NA,"species"
"7318","Agelasticus thilius","Agelasticus","Icteridae",NA,1,NA,"species"
"7319","Curaeus curaeus","Curaeus","Icteridae",NA,1,NA,"species"
"7320","Pseudoleistes guirahuro","Pseudoleistes","Icteridae",NA,1,NA,"species"
"7321","Euphagus cyanocephalus","Euphagus","Icteridae",NA,1,NA,"species"
"7322","Macroagelaius imthurni","Macroagelaius","Icteridae",NA,1,NA,"species"
"7323","Agelaioides badius","Agelaioides","Icteridae",NA,1,NA,"species"
"7324","Gymnomystax mexicanus","Gymnomystax","Icteridae",NA,1,NA,"species"
"7325","Agelasticus cyanopus","Agelasticus","Icteridae",NA,1,NA,"species"
"7326",NA,"Neosalanx","Salangidae",NA,1,NA,"genus"
"7327","Ara militaris","Ara","Psittacidae",NA,1,NA,"species"
"7328",NA,"Psittacara","Psittacidae",NA,2,NA,"genus"
"7329","Amazona barbadensis","Amazona","Psittacidae",NA,1,NA,"species"
"7330",NA,NA,"Engraulidae",NA,1,NA,"family"
"7331","Harpadon nehereus","Harpadon","Synodontidae",NA,2,NA,"species"
"7332",NA,"Scomberomorus","Scombridae",NA,2,NA,"genus"
"7333","Megophrys carinense","Megophrys","Megophryidae",NA,2,NA,"species"
"7334","Callulina kreffti","Callulina","Brevicipitidae",NA,1,NA,"species"
"7335","Cryptobatrachus sp. TNHC-GDC 451","Cryptobatrachus","Hemiphractidae",NA,1,NA,"species"
"7336","Eleutherodactylus atkinsi","Eleutherodactylus","Eleutherodactylidae",NA,3,NA,"species"
"7337","Leptopelis vermiculatus","Leptopelis","Arthroleptidae",NA,2,NA,"species"
"7338","Pelodytes ibericus","Pelodytes","Pelodytidae",NA,1,NA,"species"
"7339","Petropedetes sp. MVZ 234827","Petropedetes","Petropedetidae",NA,1,NA,"species"
"7340",NA,"Sicyopterus","Gobiidae",NA,3,NA,"genus"
"7341","Perca flavescens","Perca","Percidae",NA,3,NA,"species"
"7342","Excidobates condor","Excidobates","Dendrobatidae",NA,1,NA,"species"
"7343","Hippocampus trimaculatus","Hippocampus","Syngnathidae",NA,1,NA,"species"
"7344","Rasbora steineri","Rasbora","Danionidae",NA,1,NA,"species"
"7345",NA,"Alburnus","Leuciscidae",NA,1,NA,"genus"
"7346","Alburnus tarichi","Alburnus","Leuciscidae",NA,1,NA,"species"
"7347","Osteocephalus buckleyi","Osteocephalus","Hylidae",NA,4,NA,"species"
"7348","Osteocephalus verruciger","Osteocephalus","Hylidae",NA,1,NA,"species"
"7349","Osteocephalus festae","Osteocephalus","Hylidae",NA,1,NA,"species"
"7350","Pseudobagrus brevicaudatus","Pseudobagrus","Bagridae",NA,1,NA,"species"
"7351","Pseudobagrus crassilabris","Pseudobagrus","Bagridae",NA,1,NA,"species"
"7352","Bufo tibetanus","Bufo","Bufonidae",NA,1,NA,"species"
"7353","Cephalosilurus apurensis","Cephalosilurus","Pseudopimelodidae",NA,1,NA,"species"
"7354","Imparfinis cf. cochabambae ANSP 180641","Imparfinis","Heptapteridae",NA,1,NA,"species"
"7355","Imparfinis stictonotus","Imparfinis","Heptapteridae",NA,1,NA,"species"
"7356","Phreatobius sp. INPA S/N","Phreatobius","Heptapteridae",NA,1,NA,"species"
"7357","Trachelyopterus galeatus","Trachelyopterus","Auchenipteridae",NA,1,NA,"species"
"7358","Rheoglanis dendrophorus","Rheoglanis","Claroteidae",NA,1,NA,"species"
"7359","Clarias gabonensis","Clarias","Clariidae",NA,1,NA,"species"
"7360","Bagre marinus","Bagre","Ariidae",NA,1,NA,"species"
"7361","Cetopsis coecutiens","Cetopsis","Cetopsidae",NA,1,NA,"species"
"7362","Pterobunocephalus sp. ANSP 182774","Pterobunocephalus","Aspredinidae",NA,1,NA,"species"
"7363","Epthianura albifrons","Epthianura","Meliphagidae",NA,1,NA,"species"
"7364","Eopsaltria australis","Eopsaltria","Petroicidae",NA,5,NA,"species"
"7365","Chilochromis duponti","Chilochromis","Cichlidae",NA,1,NA,"species"
"7366","Tilapia sp. ZSM36123","Tilapia","Cichlidae",NA,1,NA,"species"
"7367","Orthochromis stormsi","Orthochromis","Cichlidae",NA,1,NA,"species"
"7368","Congolapia louna x Coptodon sp. AD-2013","Congolapia","Cichlidae",NA,1,NA,"species"
"7369","Coptodon camerunensis","Coptodon","Cichlidae",NA,1,NA,"species"
"7370","Orthochromis polyacanthus","Orthochromis","Cichlidae",NA,1,NA,"species"
"7371","Gobiocichla ethelwynnae","Gobiocichla","Cichlidae",NA,1,NA,"species"
"7372","Pelmatolapia cabrae","Pelmatolapia","Cichlidae",NA,1,NA,"species"
"7373","Coptodon rendalli","Coptodon","Cichlidae",NA,2,NA,"species"
"7374","Sarotherodon galilaeus","Sarotherodon","Cichlidae",NA,1,NA,"species"
"7375","Coelotilapia joka","Coelotilapia","Cichlidae",NA,1,NA,"species"
"7376","Ctenochromis pectoralis","Ctenochromis","Cichlidae",NA,1,NA,"species"
"7377","Melanophryniscus devincenzii","Melanophryniscus","Bufonidae",NA,1,NA,"species"
"7378","Melanophryniscus setiba","Melanophryniscus","Bufonidae",NA,1,NA,"species"
"7379","Frostius erythrophthalmus","Frostius","Bufonidae",NA,1,NA,"species"
"7380","Hippocampus comes","Hippocampus","Syngnathidae",NA,1,NA,"species"
"7381",NA,"Luciogobius","Gobiidae",NA,1,NA,"genus"
"7382","Nannocharax maculicauda","Nannocharax","Distichodontidae",NA,1,NA,"species"
"7383","Xenocharax spilurus","Xenocharax","Distichodontidae",NA,2,NA,"species"
"7384","Neolebias trewavasae","Neolebias","Distichodontidae",NA,1,NA,"species"
"7385","Distichodus notospilus","Distichodus","Distichodontidae",NA,1,NA,"species"
"7386","Ichthyborus besse","Ichthyborus","Citharinidae",NA,1,NA,"species"
"7387","Nannocharax schoutedeni","Nannocharax","Distichodontidae",NA,1,NA,"species"
"7388","Nannocharax taenia","Nannocharax","Distichodontidae",NA,2,NA,"species"
"7389","Nannocharax parvus","Nannocharax","Distichodontidae",NA,2,NA,"species"
"7390","Hemigrammocharax ocellicauda","Hemigrammocharax","Distichodontidae",NA,1,NA,"species"
"7391","Nannocharax sp. NES1","Nannocharax","Distichodontidae",NA,1,NA,"species"
"7392","Citharinus latus","Citharinus","Citharinidae",NA,1,NA,"species"
"7393","Neolebias ansorgii","Neolebias","Distichodontidae",NA,1,NA,"species"
"7394","Nannaethiops bleheri","Nannaethiops","Distichodontidae",NA,1,NA,"species"
"7395","Nannaethiops unitaeniatus","Nannaethiops","Distichodontidae",NA,1,NA,"species"
"7396","Neolebias trilineatus","Neolebias","Distichodontidae",NA,1,NA,"species"
"7397","Hemigrammocharax uniocellatus","Hemigrammocharax","Distichodontidae",NA,1,NA,"species"
"7398","Eugnathichthys macroterolepis","Eugnathichthys","Distichodontidae",NA,2,NA,"species"
"7399","Mesoborus crocodilus","Mesoborus","Distichodontidae",NA,1,NA,"species"
"7400","Phago boulengeri","Phago","Citharinidae",NA,1,NA,"species"
"7401","Belonophago hutsebouti","Belonophago","Distichodontidae",NA,1,NA,"species"
"7402","Microstomatichthyoborus bashforddeani","Microstomatichthyoborus","Distichodontidae",NA,1,NA,"species"
"7403","Distichodus hypostomatus","Distichodus","Distichodontidae",NA,1,NA,"species"
"7404","Distichodus noboli","Distichodus","Distichodontidae",NA,1,NA,"species"
"7405","Distichodus decemmaculatus","Distichodus","Distichodontidae",NA,1,NA,"species"
"7406","Distichodus fasciolatus","Distichodus","Distichodontidae",NA,1,NA,"species"
"7407","Distichodus affinis","Distichodus","Distichodontidae",NA,1,NA,"species"
"7408","Neolebias unifasciatus","Neolebias","Distichodontidae",NA,1,NA,"species"
"7409",NA,"Luciobarbus","Cyprinidae",NA,1,NA,"genus"
"7410","Puntius snyderi","Puntius","Cyprinidae",NA,1,NA,"species"
"7411","Phrynocephalus axillaris","Phrynocephalus","Agamidae",NA,1,NA,"species"
"7412","Kyphosus sydneyanus","Kyphosus","Kyphosidae",NA,3,NA,"species"
"7413",NA,"Kyphosus","Kyphosidae",NA,3,NA,"genus"
"7414","Kyphosus bigibbus","Kyphosus","Kyphosidae",NA,2,NA,"species"
"7415","Kyphosus hawaiiensis","Kyphosus","Kyphosidae",NA,1,NA,"species"
"7416","Girella zebra","Girella","Girellidae",NA,1,NA,"species"
"7417","Kyphosus elegans","Kyphosus","Kyphosidae",NA,2,NA,"species"
"7418","Kyphosus gladius","Kyphosus","Kyphosidae",NA,1,NA,"species"
"7419","Kyphosus cornelii","Kyphosus","Kyphosidae",NA,1,NA,"species"
"7420","Girella cyanea","Girella","Girellidae",NA,1,NA,"species"
"7421","Medialuna californiensis","Medialuna","Kyphosidae",NA,1,NA,"species"
"7422","Graus nigra","Graus","Girellidae",NA,1,NA,"species"
"7423","Neoscorpis lithophilus","Neoscorpis","Kyphosidae",NA,1,NA,"species"
"7424","Atypichthys strigatus","Atypichthys","Kyphosidae",NA,1,NA,"species"
"7425","Oplegnathus woodwardi","Oplegnathus","Oplegnathidae",NA,1,NA,"species"
"7426","Girella nebulosa","Girella","Girellidae",NA,1,NA,"species"
"7427","Girella fimbriata","Girella","Girellidae",NA,1,NA,"species"
"7428","Girella tricuspidata","Girella","Girellidae",NA,1,NA,"species"
"7429","Girella nigricans","Girella","Girellidae",NA,1,NA,"species"
"7430","Hermosilla azurea","Hermosilla","Kyphosidae",NA,1,NA,"species"
"7431","Girella simplicidens","Girella","Girellidae",NA,1,NA,"species"
"7432","Hyperoglyphe antarctica","Hyperoglyphe","Centrolophidae",NA,1,NA,"species"
"7433","Sectator ocyurus","Sectator","Kyphosidae",NA,1,NA,"species"
"7434","Acrossocheilus wenchowensis","Acrossocheilus","Cyprinidae",NA,1,NA,"species"
"7435","Tachysurus ussuriensis","Tachysurus","Bagridae",NA,1,NA,"species"
"7436","Clupea harengus","Clupea","Clupeidae",NA,3,NA,"species"
"7437",NA,"Liobagrus","Amblycipitidae",NA,2,NA,"genus"
"7438","Acentrogobius chlorostigmatoides","Acentrogobius","Gobiidae",NA,1,NA,"species"
"7439","Amoya chusanensis","Amoya","Gobiidae",NA,1,NA,"species"
"7440","Oxyurichthys formosanus","Oxyurichthys","Gobiidae",NA,1,NA,"species"
"7441","Plectropomus areolatus","Plectropomus","Serranidae",NA,1,NA,"species"
"7442","Perccottus glenii","Perccottus","Odontobutidae",NA,3,NA,"species"
"7443","Mauremys sinensis","Mauremys","Geoemydidae",NA,1,NA,"species"
"7444","Trachylepis aureopunctata","Trachylepis","Scincidae",NA,5,NA,"species"
"7445","Trachylepis tandrefana","Trachylepis","Scincidae",NA,1,NA,"species"
"7446","Trachylepis vato","Trachylepis","Scincidae",NA,3,NA,"species"
"7447","Trachylepis gravenhorstii","Trachylepis","Scincidae",NA,6,NA,"species"
"7448","Trachylepis elegans","Trachylepis","Scincidae",NA,4,NA,"species"
"7449","Trachylepis nancycoutuae","Trachylepis","Scincidae",NA,1,NA,"species"
"7450","Trachylepis boettgeri","Trachylepis","Scincidae",NA,2,NA,"species"
"7451","Trachylepis madagascariensis","Trachylepis","Scincidae",NA,2,NA,"species"
"7452","Trachylepis comorensis","Trachylepis","Scincidae",NA,3,NA,"species"
"7453","Trachylepis acutilabris","Trachylepis","Scincidae",NA,1,NA,"species"
"7454","Trachylepis sulcata","Trachylepis","Scincidae",NA,1,NA,"species"
"7455","Trachylepis sp. Mab5","Trachylepis","Scincidae",NA,1,NA,"species"
"7456","Trachylepis binotata","Trachylepis","Scincidae",NA,1,NA,"species"
"7457","Trachylepis wahlbergii","Trachylepis","Scincidae",NA,1,NA,"species"
"7458","Trachylepis hoeschi","Trachylepis","Scincidae",NA,1,NA,"species"
"7459","Trachylepis striata","Trachylepis","Scincidae",NA,2,NA,"species"
"7460","Trachylepis varia","Trachylepis","Scincidae",NA,2,NA,"species"
"7461","Trachylepis capensis","Trachylepis","Scincidae",NA,1,NA,"species"
"7462","Trachylepis wrightii","Trachylepis","Scincidae",NA,1,NA,"species"
"7463","Trachylepis maculilabris","Trachylepis","Scincidae",NA,1,NA,"species"
"7464","Trachylepis sechellensis","Trachylepis","Scincidae",NA,2,NA,"species"
"7465","Eutropis macularia","Eutropis","Scincidae",NA,1,NA,"species"
"7466","Trachylepis dumasi","Trachylepis","Scincidae",NA,2,NA,"species"
"7467","Trachylepis vezo","Trachylepis","Scincidae",NA,1,NA,"species"
"7468","Trachylepis tavaratra","Trachylepis","Scincidae",NA,2,NA,"species"
"7469","Arborophila ardens","Arborophila","Phasianidae",NA,1,NA,"species"
"7470","Arborophila brunneopectus","Arborophila","Phasianidae",NA,2,NA,"species"
"7471","Emberiza pusilla","Emberiza","Fringillidae",NA,1,NA,"species"
"7472","Lepomis cyanellus","Lepomis","Centrarchidae",NA,2,NA,"species"
"7473","Pseudolaubuca engraulis","Pseudolaubuca","Xenocyprididae",NA,1,NA,"species"
"7474","Leptobrachella oshanensis","Leptobrachella","Megophryidae",NA,1,NA,"species"
"7475","Remiz consobrinus","Remiz","Paridae",NA,1,NA,"species"
"7476","Rana kukunoris","Rana","Ranidae",NA,2,NA,"species"
"7477","Chiromantis sp. LOC 0807009","Chiromantis","Rhacophoridae",NA,1,NA,"species"
"7478","Kurixalus odontotarsus","Kurixalus","Rhacophoridae",NA,3,NA,"species"
"7479","Kurixalus sp. KIZ 874","Kurixalus","Rhacophoridae",NA,1,NA,"species"
"7480","Kurixalus verrucosus","Kurixalus","Rhacophoridae",NA,1,NA,"species"
"7481",NA,"Nyctixalus","Rhacophoridae",NA,1,NA,"genus"
"7482","Epinephelus areolatus","Epinephelus","Serranidae",NA,2,NA,"species"
"7483","Netta rufina","Netta","Anatidae",NA,1,NA,"species"
"7484","Nematalosa nasus","Nematalosa","Clupeidae",NA,1,NA,"species"
"7485","Nematalosa come","Nematalosa","Clupeidae",NA,1,NA,"species"
"7486","Epinephelus fasciatomaculosus","Epinephelus","Serranidae",NA,1,NA,"species"
"7487","Epinephelus latifasciatus","Epinephelus","Serranidae",NA,1,NA,"species"
"7488","Lophiogobius ocellicauda","Lophiogobius","Gobiidae",NA,1,NA,"species"
"7489","Ectopistes migratorius","Ectopistes","Columbidae",NA,2,NA,"species"
"7490","Johnius grypotus","Johnius","Sciaenidae",NA,1,NA,"species"
"7491","Zebrias zebrinus","Zebrias","Soleidae",NA,2,NA,"species"
"7492","Gerrhosaurus sp. AC-2011","Gerrhosaurus","Gerrhosauridae",NA,1,NA,"species"
"7493","Tracheloptychus madagascariensis","Tracheloptychus","Gerrhosauridae",NA,2,NA,"species"
"7494","Tracheloptychus petersi","Tracheloptychus","Gerrhosauridae",NA,1,NA,"species"
"7495","Zonosaurus aeneus","Zonosaurus","Gerrhosauridae",NA,1,NA,"species"
"7496","Zonosaurus anelanelany","Zonosaurus","Gerrhosauridae",NA,1,NA,"species"
"7497","Zonosaurus brygooi","Zonosaurus","Gerrhosauridae",NA,1,NA,"species"
"7498","Zonosaurus haraldmeieri","Zonosaurus","Gerrhosauridae",NA,1,NA,"species"
"7499","Zonosaurus karsteni","Zonosaurus","Gerrhosauridae",NA,1,NA,"species"
"7500","Zonosaurus laticaudatus","Zonosaurus","Gerrhosauridae",NA,1,NA,"species"
"7501","Zonosaurus madagascariensis","Zonosaurus","Gerrhosauridae",NA,4,NA,"species"
"7502","Zonosaurus maximus","Zonosaurus","Gerrhosauridae",NA,1,NA,"species"
"7503","Zonosaurus ornatus","Zonosaurus","Gerrhosauridae",NA,2,NA,"species"
"7504","Zonosaurus quadrilineatus","Zonosaurus","Gerrhosauridae",NA,1,NA,"species"
"7505","Zonosaurus trilineatus","Zonosaurus","Gerrhosauridae",NA,1,NA,"species"
"7506","Zonosaurus tsingy","Zonosaurus","Gerrhosauridae",NA,2,NA,"species"
"7507","Allobates chalcopis","Allobates","Dendrobatidae",NA,1,NA,"species"
"7508","Adenomera andreae","Adenomera","Leptodactylidae",NA,1,NA,"species"
"7509","Hemitrygon akajei","Hemitrygon","Dasyatidae",NA,1,NA,"species"
"7510","Epinephelus stictus","Epinephelus","Serranidae",NA,1,NA,"species"
"7511","Cephalopholis boenak","Cephalopholis","Serranidae",NA,1,NA,"species"
"7512","Anthus novaeseelandiae","Anthus","Motacillidae",NA,1,NA,"species"
"7513","Poodytes punctatus","Poodytes","Locustellidae",NA,1,NA,"species"
"7514","Petroica australis","Petroica","Petroicidae",NA,1,NA,"species"
"7515","Turdus philomelos","Turdus","Turdidae",NA,1,NA,"species"
"7516","Pelotretis flavilatus","Pelotretis","Rhombosoleidae",NA,1,NA,"species"
"7517","Clarias batrachus","Clarias","Clariidae",NA,2,NA,"species"
"7518","Pangasius pangasius","Pangasius","Pangasiidae",NA,2,NA,"species"
"7519","Phrynocephalus mystaceus","Phrynocephalus","Agamidae",NA,1,NA,"species"
"7520","Crossodactylodes bokermanni","Crossodactylodes","Leptodactylidae",NA,3,NA,"species"
"7521","Macrogenioglottus alipioi","Macrogenioglottus","Alsodidae",NA,3,NA,"species"
"7522","Rupirana cardosoi","Rupirana","Leptodactylidae",NA,1,NA,"species"
"7523","Variola louti","Variola","Serranidae",NA,1,NA,"species"
"7524","Variola albimarginata","Variola","Serranidae",NA,2,NA,"species"
"7525","Triso dermopterus","Triso","Serranidae",NA,1,NA,"species"
"7526","Epinephelus trimaculatus","Epinephelus","Serranidae",NA,1,NA,"species"
"7527","Epinephelus epistictus","Epinephelus","Serranidae",NA,2,NA,"species"
"7528","Cromileptes altivelis","Cromileptes","Serranidae",NA,1,NA,"species"
"7529","Aethaloperca rogaa","Aethaloperca","Serranidae",NA,1,NA,"species"
"7530","Cephalopholis argus","Cephalopholis","Serranidae",NA,1,NA,"species"
"7531","Cephalopholis sonnerati","Cephalopholis","Serranidae",NA,1,NA,"species"
"7532","Adenomera diptyx","Adenomera","Leptodactylidae",NA,1,NA,"species"
"7533","Adenomera engelsi","Adenomera","Leptodactylidae",NA,1,NA,"species"
"7534","Rhincodon typus","Rhincodon","Rhincodontidae",NA,1,NA,"species"
"7535","Physalaemus atlanticus","Physalaemus","Leptodactylidae",NA,1,NA,"species"
"7536","Physalaemus crombiei","Physalaemus","Leptodactylidae",NA,3,NA,"species"
"7537","Physalaemus henselii","Physalaemus","Leptodactylidae",NA,1,NA,"species"
"7538","Physalaemus olfersii","Physalaemus","Leptodactylidae",NA,1,NA,"species"
"7539","Physalaemus spiniger","Physalaemus","Leptodactylidae",NA,1,NA,"species"
"7540",NA,"Elseya","Chelidae",NA,4,NA,"genus"
"7541",NA,"Emydura","Chelidae",NA,3,NA,"genus"
"7542","Pelusios castaneus","Pelusios","Pelomedusidae",NA,1,NA,"species"
"7543","Platemys platycephala","Platemys","Chelidae",NA,1,NA,"species"
"7544","Megachasma pelagios","Megachasma","Megachasmidae",NA,1,NA,"species"
"7545","Tylototriton verrucosus","Tylototriton","Salamandridae",NA,1,NA,"species"
"7546","Tylototriton taliangensis","Tylototriton","Salamandridae",NA,2,NA,"species"
"7547","Afropavo congensis","Afropavo","Phasianidae",NA,1,NA,"species"
"7548",NA,"Alectoris","Phasianidae",NA,1,NA,"genus"
"7549","Catreus wallichii","Catreus","Phasianidae",NA,1,NA,"species"
"7550","Crossoptilon crossoptilon","Crossoptilon","Phasianidae",NA,1,NA,"species"
"7551","Lophophorus impejanus","Lophophorus","Phasianidae",NA,1,NA,"species"
"7552","Lophura swinhoii","Lophura","Phasianidae",NA,1,NA,"species"
"7553","Polyplectron chalcurum","Polyplectron","Phasianidae",NA,1,NA,"species"
"7554","Polyplectron napoleonis","Polyplectron","Phasianidae",NA,1,NA,"species"
"7555","Polyplectron germaini","Polyplectron","Phasianidae",NA,1,NA,"species"
"7556","Polyplectron inopinatum","Polyplectron","Phasianidae",NA,1,NA,"species"
"7557","Polyplectron malacense","Polyplectron","Phasianidae",NA,1,NA,"species"
"7558","Rollulus rouloul","Rollulus","Phasianidae",NA,1,NA,"species"
"7559","Tragopan blythii","Tragopan","Phasianidae",NA,1,NA,"species"
"7560","Emberiza spodocephala","Emberiza","Fringillidae",NA,1,NA,"species"
"7561","Eleutherodactylus cubanus","Eleutherodactylus","Eleutherodactylidae",NA,1,NA,"species"
"7562","Eleutherodactylus etheridgei","Eleutherodactylus","Eleutherodactylidae",NA,1,NA,"species"
"7563","Eleutherodactylus iberia","Eleutherodactylus","Eleutherodactylidae",NA,3,NA,"species"
"7564","Eleutherodactylus limbatus","Eleutherodactylus","Eleutherodactylidae",NA,1,NA,"species"
"7565","Eleutherodactylus orientalis","Eleutherodactylus","Eleutherodactylidae",NA,1,NA,"species"
"7566","Arborophila crudigularis","Arborophila","Phasianidae",NA,1,NA,"species"
"7567","Crossoptilon harmani","Crossoptilon","Phasianidae",NA,1,NA,"species"
"7568","Lophura leucomelanos","Lophura","Phasianidae",NA,1,NA,"species"
"7569","Perdix hodgsoniae","Perdix","Phasianidae",NA,2,NA,"species"
"7570","Polyplectron katsumatae","Polyplectron","Phasianidae",NA,1,NA,"species"
"7571","Tetraogallus tibetanus","Tetraogallus","Phasianidae",NA,1,NA,"species"
"7572","Ammoperdix heyi","Ammoperdix","Phasianidae",NA,1,NA,"species"
"7573","Arborophila torqueola","Arborophila","Phasianidae",NA,1,NA,"species"
"7574","Bonasa umbellus","Bonasa","Phasianidae",NA,1,NA,"species"
"7575","Caloperdix oculeus","Caloperdix","Phasianidae",NA,1,NA,"species"
"7576","Pternistis ahantensis","Pternistis","Phasianidae",NA,1,NA,"species"
"7577","Pternistis bicalcaratus","Pternistis","Phasianidae",NA,1,NA,"species"
"7578","Francolinus francolinus","Francolinus","Phasianidae",NA,1,NA,"species"
"7579","Dendroperdix sephaena","Dendroperdix","Phasianidae",NA,1,NA,"species"
"7580","Pternistis swainsonii","Pternistis","Phasianidae",NA,1,NA,"species"
"7581","Margaroperdix madagarensis","Margaroperdix","Phasianidae",NA,1,NA,"species"
"7582",NA,"Tetraogallus","Phasianidae",NA,1,NA,"genus"
"7583","Acrossocheilus monticola","Acrossocheilus","Cyprinidae",NA,2,NA,"species"
"7584","Schizothorax richardsonii","Schizothorax","Cyprinidae",NA,1,NA,"species"
"7585","Epinephelus quoyanus","Epinephelus","Serranidae",NA,1,NA,"species"
"7586","Calluella yunnanensis","Calluella","Microhylidae",NA,1,NA,"species"
"7587","Cophixalus cheesmanae","Cophixalus","Microhylidae",NA,1,NA,"species"
